COMPETENCIA;IBGE;UF;MUNICIPIO;CNES;NOME_FANTASIA;RAZAO_SOCIAL;CNPJ_PROPRIO;CNPJ_MANTENEDORA;TIPO_GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP
202107;320530;ES;VITORIA;9698922;SAMU 192 ESPIRITO SANTO A 100;SECRETARIA DE ESTADO DA SAUDE;;2,70806E+13;E;RUA JOSE FARIAS;S/N;SANTA LUIZA;29045300
202107;320115;ES;BREJETUBA;9692606;FERNANDA MAJESKI;FERNANDA DA CUNHA MAJESKI;3,22556E+13;;M;DO PAVAO;S/N;ZONA RURAL;29630000
202107;320320;ES;LINHARES;9693084;TANIA LUCIA RIDOLPHI GERALDELI FRAGA;TANIA LUCIA RIDOLPHI GERALDELI FRAGA;;;M;AV PRESIDENTE GETULIO VARGAS;1220;CENTRO;29900210
202107;320490;ES;SAO MATEUS;486663;SAMU 192 SAO MATEUS A 210;CONSORCIO PUBLICO DA REGIAO NORTE DO ESPIRITO SANTO;;3,00893E+12;M;RUA BARILOCHE;S/N;CARAPINA;29933170
202107;320140;ES;CASTELO;615625;FARMACIAS AVENIDA;DROGARIA PRINCIPAL LTDA;1,33149E+13;;M;JOSE VIVACQUA;25;CENTRO;29360000
202107;320520;ES;VILA VELHA;9698795;MARYELLA DOS SANTOS GIACOMIN;MARYELLA DOS SANTOS GIACOMIN;2,99746E+13;;M;DA AMEIXEIRA;120;ITAPUA;29101751
202107;320530;ES;VITORIA;9707468;BSNEURO CLINICA MEDICA;BSNEURO CLINICA MEDICA S S LTDA;1,67469E+13;;E;RUA JOSE ALEXANDRE BUAIZ;300;ENSEADA DO SUA;29050545
202107;320520;ES;VILA VELHA;665304;SAUDE FARMA;SAUDE FARMA DROGARIAS LTDA;3,13693E+13;;M;SANTA TEREZINHA;540;GLORIA;29122041
202107;320332;ES;MARATAIZES;9717730;DROGARIA MARCUS GABRIEL;DROGARIA GABRIEL LTDA;3,17003E+13;;M;SIMAO SOARES;1159;AREIAS NEGRAS;29345000
202107;320480;ES;SAO JOSE DO CALCADO;601233;DROGARIA FARMARI;DROGARIA FARMARI LTDA;8,97675E+12;;M;FRANCISCO NUNES DE MORAES;5;CENTRO;29470000
202107;320530;ES;VITORIA;9701729;GOMES GRIPP SERVICOS MEDICOS LTDA;GOMES GRIPP SERVICOS MEDICOS LTDA;2,32636E+13;;E;FORTUNATO RAMOS;245;SANTA LUCIA;29056020
202107;320245;ES;IBATIBA;600229;FARMACIAS PRECO POPULAR IBATIBA;FARMACIAS PRECO POPULAR DE IBATIBA LTDA;1,31842E+13;;M;MARIO ANDREAZZA;400;CENTRO;29395000
202107;320245;ES;IBATIBA;611778;HIRAN ODONTOLOGIA MODERNA;HIRA CARLOS CORREA;;;M;CANTIDIO ROBERTO DE MORAIS;130;NOVO HORIZONTE;29395000
202107;320160;ES;CONCEICAO DA BARRA;507563;SAMU 192 CONCEICAO DA BARRA B218;CONSORCIO PUBLICO DA REGIAO NORTE DO ESPIRITO SANTO;;3,00893E+12;M;RUA MUNIZ FREIRE;735;CENTRO;29960000
202107;320530;ES;VITORIA;9701796;NOVAES E NOVAES GINECOLOGIA E ABSTETRICIA;NOVAES SERVICOS MEDICOS LTDA;2,20444E+13;;M;RUA TENETE MARIO FRANCISCO BRITO;420;ENSEADA DO SUA;29050555
202107;320455;ES;SANTA MARIA DE JETIBA;550205;CONSULTORIO ODONTOLOGICO DR MIRELLA G SIMONASSI;MIRELLA GALLETTI SIMONASSI;;;M;AV FREDERICO GRULKE;1281;CENTRO;29645000
202107;320335;ES;MARILANDIA;9717668;LABORATORIO DE ANALISES CLINICAS DR RIBEIRO LTDA;LABORATORIO DE ANALISES CLINICAS DR RIBEIRO LTDA;2,74525E+13;;M;RUA DOM BOSCO;256;CENTRO;29725000
202107;320300;ES;IUNA;625922;J A BARBOZA FILHO FARMACIA;J A BARBOZA FILHO FARMACIA;4,11485E+13;;M;ARGEMIRO ANTONIO DA SILVA;125;QUILOMBO;29390000
202107;320020;ES;ALEGRE;612472;PHARMACEUTICA MEDICAMENTOS;PHARMACEUTICA MEDICAMENTOS LTDA;5,05777E+12;;M;DULCINO PINHEIRO;89;CENTRO;29500000
202107;320245;ES;IBATIBA;600237;FARMACIA PAGUE FACIL FILIAL;TERCEIRA DROGARIA PAGUE FACIL LTDA;1,37693E+13;;M;AFONSO CLAUDIO;609;CENTRO;29395000
202107;320245;ES;IBATIBA;612065;CONSULTORIO DE PSICOLOGIA DRA BIANCA SOUZA RODRIGUES;BIANCA DE SOUZA RODRIGUES;;;M;PRACA DAVID GOMES;56;CENTRO;29395000
202107;320316;ES;LARANJA DA TERRA;605905;ZILMA MIELKE PEROZINI;ZILMA MIELKE PEROZINI;;;M;AVENIDA CARLOS PALACIO;320;CENTRO;29615000
202107;320060;ES;ARACRUZ;9474366;FARMACIA FARMAVIDA;DROGARIA DE NARDI LTDA;2,00936E+13;;M;LUIZ ROSSATO;5047;JACUPEMBA;29196085
202107;320425;ES;PONTO BELO;557854;FARMACIA PRECO BAIXO;FARMACIA PRECO BAIXO DE PONTO BELO LTDA;2,24566E+13;;M;SEBASTIAO RABELO;178;CENTRO;29885000
202107;320320;ES;LINHARES;605662;QUANTY MEDICINA ESPECIALIZADA;RENEUCLIN REUMATOLOGIA NEUROLOGIA E CLINICA MEDICA;2,70118E+13;;M;AV PRESIDENTE VARGAS;1220;CENTRO;29900210
202107;320530;ES;VITORIA;497428;RAIA DROGASIL S A;RAIA DROGASIL S A;6,15859E+13;;M;AVENIDA NOSSA SENHORA DA PENHA;1166;PRAIA DO CANTO;29055130
202107;320334;ES;MARECHAL FLORIANO;475599;LABORATORIO POPULAR;N VELTEN;3,73087E+13;;M;RUA WALDEMAR MEES;202;CENTRO;29255000
202107;320520;ES;VILA VELHA;9493271;M M SAUDE;M M SAUDE LTDA;1,43419E+13;;M;JOAO PESSOA DE MATTOS;330;PRAIA DA COSTA;29101115
202107;320455;ES;SANTA MARIA DE JETIBA;640115;DROGARIA SANTA MARIA;L L DROGARIA SANTA MARIA LTDA;3,07944E+13;;M;RUA FRANCISCO SCHWARTZ;126;CENTRO;29645000
202107;320240;ES;GUARAPARI;667714;FREIRE VIEIRA DIAGNOSTICOS DE IMAGEM;FREIRE VIEIRA SERVICOS DE DIAGNOSTICO DE IMAGEM LTDA;3,63465E+13;;M;AVENIDA CAMILO GIANORDOLI;155;MUQUICABA;29215400
202107;320320;ES;LINHARES;429791;MAIS SAUDE ESPECIALIDADES ODONTOLIGICAS;POLESE ODONTOLOGOA LTDA;3,75808E+13;;M;AVENIDA JOAO FELIPE CALMON;510;CENTRO;29900010
202107;320170;ES;CONCEICAO DO CASTELO;7916256;VIGILANCIA EM SAUDE;MUNICIPIO DE CONCEICAO DO CASTELO;;2,71656E+13;M;RUA JOSE OLIVEIRA DE SOUZA;300;PEDRO RIGO;29370000
202107;320040;ES;ANCHIETA;7158246;CAPS AD;MUNICIPIO DE ANCHIETA;;2,71427E+13;M;RUA PROJETADA;S/N;PRAIA DA GUANABARA;29230000
202107;320320;ES;LINHARES;9316485;UOL;UOL UROLOGIA E ORTOPEDIA DE LINHARES LTDA ME;2,81081E+13;;M;PRESIDENTE VARGAS;1220;CENTRO;29900210
202107;320500;ES;SERRA;273074;DROGARIA PACHECO;DROGARIA PACHECO SA;3,34383E+13;;M;AV CENTRAL;678;PARQUE RES LARANJEIR;29165130
202107;320060;ES;ARACRUZ;439363;CENTRO DE ATIVIDADES SERGIO ROGERIO DE CASTRO;SERVICO SOCIAL DA INDUSTRIA;3,81048E+12;;M;EPHIFANIO PONTIN;985;VILA NOVA;29194611
202107;320020;ES;ALEGRE;3219739;MAIS SAUDE;AGUIAR FISIOTERAPIA LTDA ME;5,31425E+12;;M;AVENIDA DR OLIVIO CORREA PEDROSA;643;CENTRO;29500000
202107;320520;ES;VILA VELHA;5659485;AESA ASSISTENCIA ESPECIALIZADA EM SAUDE;ASSISTENCIA ESPECIALIZADA EM SAUDE EIRELI;8,78159E+12;;M;CABO AYLSON SIMOES;755;CENTRO;29100320
202107;320503;ES;VARGEM ALTA;3713849;UNIDADE BASICA DE SAUDE DE JACIGUA;PREFEITURA MUNICIPAL DE VARGEM ALTA;;3,17236E+13;M;JACIGUA;S/N;JACIGUA;29297000
202107;320320;ES;LINHARES;3825450;VIRGINIA LUCIA DE OLIVEIRA SOUTO;VIRGINIA LUCIA DE OLIVEIRA SOUTO;;;M;AV JOAO FELIPE CALMON;1262;CENTRO;29900010
202107;320500;ES;SERRA;5479681;CONSULTORIO DENTARIO CONTENTE;BIANCA DUQUE ANCHESQUI;;;M;RUA AMAZONAS;8;HELIO FERRAZ;29160521
202107;320500;ES;SERRA;5479762;VALERIA REGINA TONANE;VALERIA REGINA TONANE;;;M;AV CENTRAL;943;PARQUE RESIDENCIAL L;29165130
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3823555;CARLOS FREDERICO BULOTO SCHIMITD;CARLOS FREDERICO BULOTO SCHIMITD;;;M;RUA CORONEL FRANCISCO BRAGA;73;CENTRO;29300050
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3823504;AUGUSTO CEZAR ALTOE;AUGUSTO CEZAR ALTOE;;;M;RUA VINTE E CINCO DE MARCO;25;CENTRO;29300100
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3823636;ELANY APARECIDA DA SILVA;ELANY APARECIDA DA SILVA;;;M;RUA RUI BARBOSA;42;CENTRO;29300040
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3823733;JOSE CINOTTO;JOSE CINOTTO;;;M;RUA CORONEL FRANCISCO BRAGA;75;CENTRO;29300220
202107;320120;ES;CACHOEIRO DE ITAPEMIRIM;3823873;LUCIO COELHO MIRANDA;LUCIO COELHO MIRANDA;;;M;RUA DOUTOR RAULINO DE OLIVEIRA;50;CENTRO;29300150
